LATITUDE	LONGITUDE	LGA_CODE22	LGA_NAME22	STE_CODE21	STE_NAME21	AREASQKM	SHAPE_Area	SHAPE_Leng
-36.02653880441892	146.9705259144983	10050	Albury	1	New South Wales	305.6386	0.0305604096491	1.32176758519
-30.367382623584017	151.89911132596453	10180	Armidale	1	New South Wales	7809.4406	0.732824736908	6.03458272261
-28.85287486006754	153.48615711247285	10250	Ballina	1	New South Wales	484.9692	0.0448434369765	1.5111212363
-33.95033966688613	143.61162395830203	10300	Balranald	1	New South Wales	21690.7493	2.11552808492	11.4899120218
-33.4301260136446	149.52563941177976	10470	Bathurst	1	New South Wales	3817.8645	0.37014877806	5.39511401246
-33.949515669894126	151.16712041451075	10500	Bayside (NSW)	1	New South Wales	50.6204	0.00493713943495	0.5764148501
-36.82590196120465	149.7175933505947	10550	Bega Valley	1	New South Wales	6278.5013	0.634170324686	6.14082068847
-30.403789777434696	152.72859634540401	10600	Bellingen	1	New South Wales	1600.4338	0.150235002684	2.31147782524
-35.734312626617545	145.71118028015695	10650	Berrigan	1	New South Wales	2065.8878	0.205817890373	2.91769996562
-33.74093136152887	150.86409340585945	10750	Blacktown	1	New South Wales	238.8471	0.0232385338426	0.741290542399
-33.894330760361626	146.9612732780158	10800	Bland	1	New South Wales	8557.6536	0.834081970926	5.65858790208
-33.59431751235993	149.14206456412654	10850	Blayney	1	New South Wales	1524.647	0.148091418886	2.28606620511
-33.697531609858366	150.41114678475608	10900	Blue Mountains	1	New South Wales	1431.1442	0.139172971662	3.0978794215
-31.538115990331672	146.86687907141285	10950	Bogan	1	New South Wales	14599.8996	1.38661461629	7.4106774298
-29.91058062123279	145.35681292906236	11150	Bourke	1	New South Wales	41598.3722	3.88597290695	10.6190349338
-29.791589585301285	146.96088373616126	11200	Brewarrina	1	New South Wales	19162.0296	1.78796379042	9.8899354282
-31.944022303388085	141.4792749366148	11250	Broken Hill	1	New South Wales	170.1153	0.0162258188847	0.610208165524
-33.88367352965525	151.10315744934755	11300	Burwood	1	New South Wales	7.1282	0.000694723530429	0.119165278577
-28.604154097757544	153.48251108665036	11350	Byron	1	New South Wales	565.8027	0.0521959772626	1.55929840553
-33.15298480856995	148.754106870388	11400	Cabonne	1	New South Wales	6022.3496	0.582059949636	6.71622611393
-34.00883082672776	150.72419936021015	11450	Camden	1	New South Wales	201.5278	0.0196679021939	0.781939036709
-34.08341200657833	150.84586321998893	11500	Campbelltown (NSW)	1	New South Wales	311.4117	0.0304183430181	0.992641708803
-33.853485275033414	151.11483084730395	11520	Canada Bay	1	New South Wales	19.9239	0.00194089480278	0.438232041523
-33.92349501679087	151.0373257280851	11570	Canterbury-Bankstown	1	New South Wales	110.2374	0.0107476704211	0.710778011792
-33.608979657096945	145.49643135896565	11600	Carrathool	1	New South Wales	18934.4853	1.83949538211	11.0103989452
-33.30797388065274	151.28548829662802	11650	Central Coast (NSW)	1	New South Wales	1681.0059	0.162751102738	5.26114658228
-31.85068475884347	143.58969838225312	11700	Central Darling	1	New South Wales	53492.193	5.0975774688	16.1989596559
-32.925055455013535	151.22490546813526	11720	Cessnock	1	New South Wales	1965.1593	0.189449688154	2.98220593348
-29.681725515694385	152.75115777706608	11730	Clarence Valley	1	New South Wales	10428.6804	0.972005781669	7.20568446526
-31.867968183772376	145.4828567694743	11750	Cobar	1	New South Wales	45575.3512	4.34373575552	13.6851360924
-30.189026103639147	153.0398402465171	11800	Coffs Harbour	1	New South Wales	1173.7435	0.109945439907	2.55729260358
-34.632518519038825	147.10483883357782	12000	Coolamon	1	New South Wales	2430.9037	0.238980517521	2.75871221821
-30.87053564848261	148.29161324862213	12150	Coonamble	1	New South Wales	9916.0535	0.935258480968	5.70290508424
-34.85296218607224	148.0941253423109	12160	Cootamundra-Gundagai	1	New South Wales	3981.4172	0.392439130195	5.27439426427
-33.79637040261511	148.71795613117516	12350	Cowra	1	New South Wales	2808.7821	0.273452199271	4.30511520504
-33.84213682892982	150.98646528562347	12380	Cumberland	1	New South Wales	72.7496	0.00708653274528	0.516181981864
-32.42470374880766	148.85441677724643	12390	Dubbo	1	New South Wales	7534.5251	0.722387282897	5.6296363298
-32.34954786293114	151.60829288441542	12700	Dungog	1	New South Wales	2249.9983	0.215545150473	2.62782971566
-35.172531265143796	144.94147813512998	12730	Edward River	1	New South Wales	8883.4463	0.878986535969	5.9288741618
-35.9451437236788	149.9470547337783	12750	Eurobodalla	1	New South Wales	3428.1695	0.34243122811	4.59512194034
-33.865621699769164	150.89542221807775	12850	Fairfield	1	New South Wales	101.5072	0.00989007273435	0.652562021494
-35.49704283878335	146.27137211641215	12870	Federation	1	New South Wales	5684.9253	0.564731764499	6.27295619715
-33.421618711981914	147.86720794143736	12900	Forbes	1	New South Wales	4710.128	0.456608600724	5.12684089888
-33.97101883503972	151.08636364868647	12930	Georges River	1	New South Wales	38.3375	0.00373993123831	0.566678225348
-31.61901370114243	148.69074002718668	12950	Gilgandra	1	New South Wales	4831.5057	0.459248564759	3.87805203297
-29.644973753301205	151.9030483379773	13010	Glen Innes Severn	1	New South Wales	5479.977	0.510574838033	4.83865428082
-34.87602675695074	149.81349691781995	13310	Goulburn Mulwaree	1	New South Wales	3220.0796	0.31748193352	4.79309003063
-35.7502598148784	147.17183504031817	13340	Greater Hume	1	New South Wales	5749.3875	0.572906562648	5.60911434836
-34.30039735470649	146.0035940377669	13450	Griffith	1	New South Wales	1639.1732	0.160517455685	2.329086329
-31.046532884518708	150.1888955933682	13550	Gunnedah	1	New South Wales	4987.0295	0.471213293219	5.25284682322
-29.593468272674194	150.5168155241053	13660	Gwydir	1	New South Wales	9259.6544	0.862318650319	6.72311944903
-33.33476611712355	150.7732475466966	13800	Hawkesbury	1	New South Wales	2775.1378	0.268763594023	3.9106452469
-34.31584890036199	144.6837063255643	13850	Hay	1	New South Wales	11325.9324	1.10932057736	7.53504316412
-34.35199699107697	148.50096323475128	13910	Hilltops	1	New South Wales	7140.8865	0.69970304057	6.6486512933
-33.58391774521445	151.08941968499965	14000	Hornsby	1	New South Wales	455.0374	0.0441932930907	2.47648847885
-33.833339147830976	151.14513441487438	14100	Hunters Hill	1	New South Wales	5.7169	0.000556826067962	0.218158021105
-33.891321934281905	151.1549153515687	14170	Inner West	1	New South Wales	35.2115	0.00343160121196	0.427888138245
-29.41883717233053	151.0751813571602	14220	Inverell	1	New South Wales	9404.7564	0.874347250589	6.93110386384
-34.81719376300848	147.66888249166522	14300	Junee	1	New South Wales	2030.0222	0.200008070585	2.62956172683
-30.95153403037532	152.6447387480195	14350	Kempsey	1	New South Wales	3375.6704	0.318647794848	3.91700033543
-34.67885793240436	150.75622964353823	14400	Kiama	1	New South Wales	257.6638	0.025344570331	1.04249391339
-33.73459751443234	151.15091372268304	14500	Ku-ring-gai	1	New South Wales	85.4093	0.00830912434817	0.503529297561
-28.617781140851413	152.77558182656412	14550	Kyogle	1	New South Wales	3584.1829	0.330688510518	4.01329573478
-32.92009535417166	146.98971404194174	14600	Lachlan	1	New South Wales	14968.2539	1.44295938548	8.79108075191
-33.038844438998915	151.53018756077742	14650	Lake Macquarie	1	New South Wales	648.6393	0.0626109202069	3.05070995744
-33.81998082406331	151.166900763523	14700	Lane Cove	1	New South Wales	10.4789	0.00102051470397	0.249661055994
-34.53235693091234	146.30208843364784	14750	Leeton	1	New South Wales	1167.1876	0.114609552825	2.0280119811
-28.75616217951886	153.27066135655815	14850	Lismore	1	New South Wales	1287.7042	0.118961620427	2.50860320654
-33.2776619646693	150.1789617311309	14870	Lithgow	1	New South Wales	4512.2561	0.436718444065	5.07060613534
-33.93595833558214	150.82521251843556	14900	Liverpool	1	New South Wales	305.7401	0.0298133353696	1.34684367407
-31.55060702437997	150.4384220192372	14920	Liverpool Plains	1	New South Wales	5082.2398	0.482733790067	4.91981406205
-35.33125992992933	146.77544395478515	14950	Lockhart	1	New South Wales	2895.8049	0.287079771699	2.77637881136
-32.710801082213706	151.5497612147828	15050	Maitland	1	New South Wales	391.5089	0.037653811493	1.21058717704
-32.015303179847095	152.0957633528542	15240	Mid-Coast	1	New South Wales	10053.8633	0.959687030591	6.89603510132
-32.59379774214955	149.74242633293767	15270	Mid-Western	1	New South Wales	8752.2589	0.840688114954	7.04078787832
-29.25301140244424	149.62885600755303	15300	Moree Plains	1	New South Wales	17902.7033	1.66173384404	9.26140468237
-33.829069021969566	151.24464055453282	15350	Mosman	1	New South Wales	8.6503	0.000842540073689	0.216078484541
-35.32469775880873	144.21164743636035	15520	Murray River	1	New South Wales	11863.0162	1.17599134373	11.6945636108
-34.949721323743105	145.7293707391761	15560	Murrumbidgee	1	New South Wales	6880.7902	0.679012693462	5.74745519027
-32.4399116581651	150.63030150975345	15650	Muswellbrook	1	New South Wales	3404.8841	0.326501003948	3.99222873843
-30.687544092544243	152.76894355581297	15700	Nambucca Valley	1	New South Wales	1491.3431	0.140397682042	2.06651604214
-30.35647853388599	149.56489007620755	15750	Narrabri	1	New South Wales	13014.9937	1.22117432716	6.25964784841
-34.61124649311803	146.5796881996682	15800	Narrandera	1	New South Wales	4116.3458	0.4045755294	3.96593262127
-32.22607614987848	148.0655610624565	15850	Narromine	1	New South Wales	5261.5165	0.503371589263	4.15463655022
-32.880044217077874	151.6956984178856	15900	Newcastle	1	New South Wales	186.7255	0.0179920213306	1.26906948963
-33.832944064709416	151.21186883807397	15950	North Sydney	1	New South Wales	10.491	0.00102175816354	0.265366793847
-33.69022403970135	151.2496757835285	15990	Northern Beaches	1	New South Wales	254.2072	0.0247185301919	1.96465088044
-33.883278601233464	149.8114064125972	16100	Oberon	1	New South Wales	3625.047	0.353273718317	4.84099776975
-33.32464865126684	149.12037951543817	16150	Orange	1	New South Wales	284.2159	0.0275221749451	0.962256244958
-32.88099839901493	147.9614288066049	16200	Parkes	1	New South Wales	5957.6137	0.574062181838	4.30285632878
-33.79933045022632	151.029312634136	16260	Parramatta	1	New South Wales	83.8303	0.00816172508401	0.569111286769
-33.76535956475546	150.71807605332248	16350	Penrith	1	New South Wales	404.7021	0.0393861281371	1.06886934888
-31.40974789964874	152.53121651101233	16380	Port Macquarie-Hastings	1	New South Wales	3682.3915	0.349254001982	3.90729835113
-32.72178252627042	151.84472761752184	16400	Port Stephens	1	New South Wales	858.4357	0.0825711405432	2.96504076948
-35.42274179942459	149.62717658590628	16490	Queanbeyan-Palerang	1	New South Wales	5319.0075	0.52789774747	6.09416442078
-33.94322625076733	151.2402149417446	16550	Randwick	1	New South Wales	36.331	0.00354329427821	0.472235120873
-29.05961478763073	153.04628738411833	16610	Richmond Valley	1	New South Wales	3047.3748	0.282332100643	3.43195854104
-33.7991260867271	151.11056779315552	16700	Ryde	1	New South Wales	40.4746	0.00394040421566	0.384066726763
